TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
52679966217699442346722539497756787658602710411000868603939029237224921709464,1778669897359,1778669905313,1778669906346,1778669905344,1778669906346,,,8987
66960534863186525339613954137055895344706983582796009872404223272119795675268,1778669897358,1778669906313,1778669906624,1778669906346,1778669906624,,,9265
74193815693460750221527104935206223662361647324404467351544301640808078642960,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11880
61902998025948096409569301663290702906746631798119748673729685275107203474139,1778669903048,1778669911316,1778669915348,1778669911355,1778669915348,,,12300
13905981798069911030505663855028554075036722497641784037845721165840276642802,1778669897359,1778669905313,1778669906346,1778669905344,1778669906346,,,8987
93343000027088808703500013863357608440666006603590250639015143228559215828947,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
54881451331995309304269943131555105440679069795264833925647666773524614997875,1778669903047,1778669909870,1778669911355,1778669909920,1778669911355,,,8307
95250238610173345196108782044869756983786390204386783672637355901461053771555,1778669903047,1778669909870,1778669911632,1778669909920,1778669911632,,,8584
25595396723527024721813433637625711394137684306799874307641682160045001408460,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8584
33583885927745259799943622416093334099657466004016076343946168677809193533324,1778669903047,1778669911587,1778669911632,,,,,8584
20279719269721650274604777283400556488179063764408976611317215419210299980236,1778669897358,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
68970439494770243066997050704125110523603318510810001180102967270801421450433,1778669897358,1778669906587,1778669910347,1778669906624,1778669910347,,,12988
17507218202666957089681453817318644227528878439335767439636625784869459098166,1778669897359,1778669906587,1778669911355,1778669906624,1778669911355,,,13996
31210300025749672229610596303531642770210654996626115023526537704887205083899,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11881
88362212350932752467983520699432434181185620895105561779982163622592157691715,1778669903047,1778669911316,1778669911632,1778669911355,1778669911632,,,8584
87253623943649527091841682235861175484857112456501394378597170323311120527064,1778669903047,1778669911316,1778669911632,1778669911355,1778669911632,,,8584
24168540695732466646342827395875931782440086228258944363271566812147378736070,1778669897358,1778669905313,1778669905344,,,,,7985
5260911034754524904607045944051417863208760817847375246485206657255098542390,1778669897359,1778669906313,1778669909920,1778669906346,1778669909920,,,12561
54884827336502830769155047103053671831944927263469168353168856047560064570629,1778669903047,1778669911587,1778669916368,1778669911632,1778669916368,,,13320
46181401562369178436854615520130799944987125522960250165148929670885221776242,1778669903047,1778669911587,1778669916368,1778669911632,1778669916368,,,13320
113117857269150796003885180927414854976756123846194823560872828801573358951300,1778669897359,1778669904870,1778669904908,,,,,7549
1989890161429812341401224746216823580065843290648602013896264912032368843248,1778669897358,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
36396503517579000383260904181331401701966495270253679567682934809505561466468,1778669897358,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
13956202642599338480566496822003661808148971678146945771194789731588692176930,1778669903048,1778669910315,1778669911632,1778669910347,1778669911632,,,8584
78716803587550183814315575660915655283152582383555301573127728806198515408406,1778669903047,1778669911316,1778669911355,,,,,8307
61302233974470204253169938676058483385270653032357941006646931949164131222048,1778669903047,1778669911316,1778669915348,1778669911355,1778669915348,,,12300
78644601950602583562916857063887640034631080085535137022747213802790755710918,1778669903047,1778669911316,1778669911632,1778669911355,1778669911632,,,8584
69353612429541286971164349358547989633182740287164195082810849201715680626130,1778669897358,1778669904870,1778669904908,,,,,7550
50043771723839280971629182033139146612167235923342897885988491410192147595840,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
46869067446291533928851371798026750210605718208544517047871787454141080416674,1778669897358,1778669906313,1778669909920,1778669906346,1778669909920,,,12561
32643264571795376467845597436327789078480149253118151257089075394571052255274,1778669897358,1778669906587,1778669910347,1778669906624,1778669910347,,,12988
9107221253623986776222016447806710373681005306904409996139509086359496103231,1778669903047,1778669909870,1778669911355,1778669909920,1778669911355,,,8308
97888533785766214661560895239080264392841373557031651845305416116303174860454,1778669903047,1778669909870,1778669911632,1778669909920,1778669911632,,,8585
110828586101177617393725932393113302774852317059892199544796790309436816413273,1778669903047,1778669909870,1778669911355,1778669909920,1778669911355,,,8307
76009513512245966128473916512256068962370184858400653802944586760422520018386,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8585
4655471438084289337508454690652452014518535447617353466895192488413878753753,1778669897358,1778669905313,1778669906346,1778669905344,1778669906346,,,8988
29241962098623517817751908188816389499003946344046752103349779099988431791767,1778669897358,1778669905313,1778669909920,1778669905344,1778669909920,,,12561
59048637396282067809654890282613707803707956844333599683110196432706230567325,1778669897359,1778669905313,1778669906346,1778669905344,1778669906346,,,8987
14909840161065441719996561735654514186954031031444417539028012487127972370925,1778669897358,1778669906587,1778669910347,1778669906624,1778669910347,,,12988
7165123269177757596280279318479501771687904527621915779573040962715794632107,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8585
90116604673152751969492035296067679947499971122343867971167885606044921337169,1778669903047,1778669911316,1778669911355,,,,,8307
105274865292560274183708613252093718169720259774846196408583975284861098040210,1778669903047,1778669911316,1778669911632,1778669911355,1778669911632,,,8584
38257906678314894691408252533170412147816249675602456053224819464324418208130,1778669903047,1778669911587,1778669916368,1778669911632,1778669916368,,,13321
94774162546512172851892480111250527311143570902677237192109266588890717679850,1778669897359,1778669904870,1778669904908,,,,,7549
